"ID";"Level";"Topic";"Score";"Date"
33;"1";"Go to bed early is better for us";"45";"2020-05-29 18:13:28"
34;"1";"Go to bed early is better for us";"55";"2020-05-29 18:16:04"
41;"1";"Living by the sea makes us happier";"15";"2020-05-29 20:58:06"
42;"1";"Go to bed early is better for us";"40";"2020-05-29 21:19:20"
43;"1";"Smartphone use could be changing shape of our skulls";"0";"2020-05-29 21:26:02"
48;"1";"Go to bed early is better for us";"0";"2020-05-31 20:45:32"
49;"1";"Go to bed early is better for us";"0";"2020-05-31 20:46:01"
50;"1";"Go to bed early is better for us";"0";"2020-06-02 22:01:43"
51;"1";"Go to bed early is better for us";"0";"2020-06-03 22:13:45"
52;"1";"Go to bed early is better for us";"0";"2020-06-03 22:31:46"
53;"1";"Smartphone use could be changing shape of our skulls";"0";"2020-06-03 23:30:15"
54;"3";"Too much gaming is mental health issue";"0";"2020-06-04 00:15:38"
55;"2";"Early humans were bad at drawing";"0";"2020-06-04 00:16:00"
56;"1";"Go to bed early is better for us";"23";"2020-06-04 07:13:57"
57;"1";"Go to bed early is better for us";"25";"2020-06-04 07:20:12"
58;"1";"Go to bed early is better for us";"25";"2020-06-04 07:22:36"
59;"1";"Go to bed early is better for us";"18";"2020-06-04 07:39:37"
